code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category,special_chars_2019,special_chars_2021,special_chars_2020
CR700,CR,Theatre and Drama Studies at CIT Cork School of Mu,768.0,906.0,740.0,645.0,,,#,609.0,609.0,Cork Institute of Technology,Arts,#,#,#
CR930,CR,Home Economics and Business,,,,,,,,518.0,,Cork Institute of Technology,,NaN,*,
CR126,CR,Popular Music: Drums at CIT Cork School of Music,878.0,1043.0,801.0,,,,#,,,Cork Institute of Technology,Arts,#,NaN,#
CR127,CR,Popular Music: Electric Guitar at CIT Cork School of Music,584.0,761.0,838.0,768.0,,,#,,,Cork Institute of Technology,Arts,#,NaN,#
CR128,CR,Popular Music: Keyboards at CIT Cork School of Music,839.0,1009.0,840.0,,,,#,,,Cork Institute of Technology,Arts,#,NaN,#
CR129,CR,Popular Music: Voice at CIT Cork School of Music,857.0,927.0,841.0,,,,#,,,Cork Institute of Technology,Arts,#,NaN,#
CT125,CT,Computing and IT,235.0,280.0,220.0,,,,,242.0,242.0,CCT College Dublin,Information and Communication Technologies (ICTs),NaN,NaN,
CT325,CT,Business,,,338.0,,,,,253.0,253.0,CCT College Dublin,Business and administration,NaN,NaN,
CW018,CW,Business (options),327.0,349.0,298.0,248.0,,,,307.0,,"Institute of Technology, Carlow",Business and administration,NaN,NaN,
CW028,CW,Early Childhood Education and Care,252.0,308.0,252.0,,,,,260.0,,"Institute of Technology, Carlow",Welfare,NaN,NaN,
CW038,CW,Art (portfolio),700.0,700.0,700.0,,,,#,700.0,,"Institute of Technology, Carlow",Arts,#,#,#
CW058,CW,Tourism and Event Management,252.0,262.0,298.0,,,,,292.0,,"Institute of Technology, Carlow",Personal services,NaN,NaN,
CW068,CW,Applied Social Studies in Professional Social Care,251.0,280.0,245.0,,,,,250.0,,"Institute of Technology, Carlow",Welfare,NaN,NaN,
